asset_id,token_name,as_of_date,price_in_usd
0,ALGO,2021-09-22,1.5636585859186016
0,ALGO,2021-09-23,1.8326809567889293
0,ALGO,2021-09-24,2.007281670664389
0,ALGO,2021-09-25,1.7841470647366888
0,ALGO,2021-09-26,1.739849677300087
0,ALGO,2021-09-27,1.7489669422036225
0,ALGO,2021-09-28,1.6768071681450405
0,ALGO,2021-09-29,1.5556655562444217
0,ALGO,2021-09-30,1.599053108063542
0,ALGO,2021-10-01,1.6229051458968469
0,ALGO,2021-10-02,1.7738453381419754
0,ALGO,2021-10-03,1.772429423768753
0,ALGO,2021-10-04,1.9917270095790247
0,ALGO,2021-10-05,1.9439770008168145
0,ALGO,2021-10-06,1.9607068601385544
0,ALGO,2021-10-07,1.8210044653455544
0,ALGO,2021-10-08,1.8828758828148244
0,ALGO,2021-10-09,1.891317679384038
0,ALGO,2021-10-10,1.891656942377647
0,ALGO,2021-10-11,1.7704492647893555
0,ALGO,2021-10-12,1.7098887994129977
0,ALGO,2021-10-13,1.7432668280438786
0,ALGO,2021-10-14,1.8386353521530567
0,ALGO,2021-10-15,1.8089640074630984
0,ALGO,2021-10-16,1.761065180736416
0,ALGO,2021-10-17,1.8046819560051293
0,ALGO,2021-10-18,1.767399392613059
0,ALGO,2021-10-19,1.7298824532867103
0,ALGO,2021-10-20,1.7131232462413808
0,ALGO,2021-10-21,1.7932617954117216
0,ALGO,2021-10-22,1.788795619349514
0,ALGO,2021-10-23,1.863258388519862
0,ALGO,2021-10-24,1.9143629803069744
0,ALGO,2021-10-25,1.8238803689242644
0,ALGO,2021-10-26,2.059424169160831
0,ALGO,2021-10-27,2.0093158151977204
0,ALGO,2021-10-28,1.796290928374214
0,ALGO,2021-10-29,1.848643182497066
0,ALGO,2021-10-30,1.874057318201436
0,ALGO,2021-10-31,1.8173724210951256
0,ALGO,2021-11-01,1.8269917900985189
0,ALGO,2021-11-02,1.8353566852691128
0,ALGO,2021-11-03,1.8654251023908264
0,ALGO,2021-11-04,1.927826992117553
0,ALGO,2021-11-05,1.8623242764896868
