date,daily_arbitrage_counts
2021-09-28,0
2021-09-29,0
2021-09-30,0
2021-10-01,0
2021-10-02,0
2021-10-03,0
2021-10-04,0
2021-10-05,0
2021-10-06,0
2021-10-07,0
2021-10-08,0
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,0
2021-10-13,0
2021-10-14,0
2021-10-15,0
2021-10-16,0
2021-10-17,0
2021-10-18,0
2021-10-19,0
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-27,0
2021-10-28,0
2021-10-29,0
2021-10-30,0
2021-10-31,0
2021-11-01,0
2021-11-02,0
2021-11-03,0
2021-11-04,0
2021-11-05,0
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,0
2021-11-10,0
2021-11-11,0
2021-11-12,0
2021-11-13,0
2021-11-14,0
2021-11-15,0
2021-11-16,0
2021-11-17,0
2021-11-18,0
2021-11-19,0
2021-11-20,0
2021-11-21,0
2021-11-22,0
2021-11-23,0
2021-11-24,0
2021-11-25,0
2021-11-26,0
2021-11-27,0
2021-11-28,0
2021-11-29,0
2021-11-30,0
2021-12-01,0
2021-12-02,0
2021-12-03,0
2021-12-04,0
2021-12-05,0
2021-12-06,0
2021-12-07,0
2021-12-08,0
2021-12-09,0
2021-12-10,0
2021-12-11,0
2021-12-12,0
2021-12-13,0
2021-12-14,0
2021-12-15,0
2021-12-16,0
2021-12-17,0
2021-12-18,0
2021-12-19,1
2021-12-20,0
2021-12-21,0
2021-12-22,0
2021-12-23,0
2021-12-24,0
2021-12-25,0
2021-12-26,0
2021-12-27,0
2021-12-28,0
2021-12-29,0
2021-12-30,0
2021-12-31,0
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,0
2022-01-08,0
2022-01-09,0
2022-01-10,0
2022-01-11,0
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,0
2022-01-20,0
2022-01-21,0
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,0
2022-01-29,0
2022-01-30,0
2022-01-31,0
2022-02-01,0
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-05,0
2022-02-06,0
2022-02-07,0
2022-02-08,0
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-12,0
2022-02-13,0
2022-02-14,0
2022-02-15,0
2022-02-16,0
2022-02-17,5
2022-02-18,4
2022-02-19,0
2022-02-20,0
2022-02-21,189
2022-02-22,85
2022-02-23,141
2022-02-24,438
2022-02-25,91
2022-02-26,90
2022-02-27,183
2022-02-28,105
2022-03-01,134
2022-03-02,104
2022-03-03,115
2022-03-04,236
2022-03-05,140
2022-03-06,106
2022-03-07,266
2022-03-08,221
2022-03-09,263
2022-03-10,75
2022-03-11,208
2022-03-12,79
2022-03-13,323
2022-03-14,251
2022-03-15,451
2022-03-16,186
2022-03-17,168
2022-03-18,297
2022-03-19,329
2022-03-20,332
2022-03-21,551
2022-03-22,363
2022-03-23,432
2022-03-24,495
2022-03-25,569
2022-03-26,526
2022-03-27,187
2022-03-28,406
2022-03-29,601
2022-03-30,826
2022-03-31,1052
2022-04-01,903
2022-04-02,633
2022-04-03,377
2022-04-04,559
2022-04-05,541
2022-04-06,928
2022-04-07,448
2022-04-08,484
2022-04-09,345
2022-04-10,256
2022-04-11,522
2022-04-12,498
2022-04-13,305
2022-04-14,523
2022-04-15,205
2022-04-16,132
2022-04-17,107
2022-04-18,342
2022-04-19,234
2022-04-20,282
2022-04-21,394
2022-04-22,200
2022-04-23,171
2022-04-24,150
2022-04-25,536
2022-04-26,564
2022-04-27,312
2022-04-28,538
2022-04-29,665
2022-04-30,1311
2022-05-01,644
2022-05-02,704
2022-05-03,5112
2022-05-04,568
2022-05-05,644
2022-05-06,1108
2022-05-07,974
2022-05-08,620
2022-05-09,1451
2022-05-10,1436
2022-05-11,5544
2022-05-12,4198
2022-05-13,1115
2022-05-14,673
2022-05-15,732
2022-05-16,609
2022-05-17,604
2022-05-18,726
2022-05-19,700
2022-05-20,587
2022-05-21,520
2022-05-22,258
2022-05-23,539
2022-05-24,521
2022-05-25,316
2022-05-26,845
2022-05-27,1182
2022-05-28,265
2022-05-29,407
2022-05-30,583
2022-05-31,585
2022-06-01,1056
2022-06-02,612
2022-06-03,442
2022-06-04,248
2022-06-05,241
2022-06-06,519
2022-06-07,954
2022-06-08,1806
2022-06-09,273
2022-06-10,574
2022-06-11,586
2022-06-12,968
2022-06-13,2153
2022-06-14,1229
2022-06-15,1537
2022-06-16,1240
2022-06-17,610
2022-06-18,1353
2022-06-19,1135
2022-06-20,671
2022-06-21,766
2022-06-22,816
2022-06-23,1007
2022-06-24,976
2022-06-25,1028
2022-06-26,671
2022-06-27,551
2022-06-28,890
2022-06-29,755
2022-06-30,1618
2022-07-01,990
2022-07-02,514
2022-07-03,262
2022-07-04,431
2022-07-05,393
2022-07-06,190
2022-07-07,378
2022-07-08,308
2022-07-09,234
2022-07-10,246
2022-07-11,228
2022-07-12,239
2022-07-13,415
2022-07-14,498
2022-07-15,248
2022-07-16,391
2022-07-17,210
2022-07-18,619
2022-07-19,421
2022-07-20,584
2022-07-21,407
2022-07-22,374
2022-07-23,208
2022-07-24,265
2022-07-25,442
2022-07-26,432
2022-07-27,301
2022-07-28,566
2022-07-29,398
2022-07-30,309
2022-07-31,374
