arber,name,profits_in_usd
SINLFOSMPLJFSKNZCRQMFPC6LGCH2O62YHGS3LJKOP2GSPK5O3CVHTA4AM,USDC,-0.30099986648905513
TEICJUFENMNMZXQTADIAUVJ25FRSYDZI3AYOBQAQQXJ4JZQDCS2RAUI634,ALGO,25304.395969156
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,ALGO,0.09635789310138872
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,BANK,0.0
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,BIRDS,0.0
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,DEFLY,0.0
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,OPUL,0.0
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,STBL,-0.016386955700568383
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,STBL2,0.0
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,STKE,0.0
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,SVANSY,0.0
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,TEAR,0.0
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,USDC,0.020403133259751016
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,USDT,-0.010541037285089098
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,Yieldly,0.0
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,goBTC,0.0
TEKXXVDTGZ5Q5U363SMXFMG23B4Z6CCJZRCZMIKTDJDP23RTOVOH7MD5IA,goETH,0.0
TZ3U7KHVHWPM34BJKIWKSSBRNS3LDJGSLHY2DIZVP7EJV5OKOJ5ZJW76FA,ALGO,4524.8776387122925
TZ3U7KHVHWPM34BJKIWKSSBRNS3LDJGSLHY2DIZVP7EJV5OKOJ5ZJW76FA,GARD,0.20898541950551966
TZ3U7KHVHWPM34BJKIWKSSBRNS3LDJGSLHY2DIZVP7EJV5OKOJ5ZJW76FA,OPUL,0.0
TZ3U7KHVHWPM34BJKIWKSSBRNS3LDJGSLHY2DIZVP7EJV5OKOJ5ZJW76FA,STBL,2889.1918662571366
TZ3U7KHVHWPM34BJKIWKSSBRNS3LDJGSLHY2DIZVP7EJV5OKOJ5ZJW76FA,USDC,5827.308717436636
TZ3U7KHVHWPM34BJKIWKSSBRNS3LDJGSLHY2DIZVP7EJV5OKOJ5ZJW76FA,USDT,1149.8396963007017
URKF45CZD6JGFIRBH67VQX6OCLUOXGDRRCCB3R2M7UXFY4EPOSQQ6VDQZU,ALGO,31201.12282015142
UT7ZUJ33OILQTO25B2JPXFOY5NT5CMVRLJIO76HTCIMQNNTQJL2PQR3O6A,USDC,142.70144134950695
UT7ZUJ33OILQTO25B2JPXFOY5NT5CMVRLJIO76HTCIMQNNTQJL2PQR3O6A,USDT,0.10678487960160407
UT7ZUJ33OILQTO25B2JPXFOY5NT5CMVRLJIO76HTCIMQNNTQJL2PQR3O6A,goBTC,0.0
VHWFEIERFUAST73QFDYKVZWZ4EEATLDLCHYF6IS7643D5HNOMHZEXI7WN4,ALGO,0.03195044290275336
VSRZEC2SY2MRA5OR3JVTJADM5NA7UG57AUY4O5M7G6QSQ7K5D7HSH65NI4,ALGO,0.006163178958955809
X3IF4Y566P7WNLJECSZBN5EJRCQUB4DMOP54PT6J3W4PPMMF6SQCSFJF34,ALGO,0.4216639475109212
XEYEWDWEHMIOAXFZN2HSBZJNCROOG7JKJLKFQSGG25JGE5UUZBZCGEWGEA,ALGO,5935.945129160644
